alunoId,cursos
1076254,124321|920089|920083|920090|123465|123507
1268548,124321|122912
1709459,124321|124464|920089
1712393,124
1721053,124321|123661|124640
1721762,124321|124422|124430|120834|920089|920089|920089|920083|122551|920085|920090|920081
1721921,124321|124328|123370|123822|123750|124460|124120|123637|123780|123598|124141|123735|124496|124465|920094|920094|124156|124372|123719|123814|920080|920080|123115|10004|124150|121579|920083|122181|122181|122094|123231|920090|920090|123053|920081|920081|123596|123434|124358|124125|122291|920092|122912|920086|120808|121439|121440|124148|123487|920087|920088|122050|123920|124347|123777
1743575,124321|10006|124146|124755|120863|920090|920090|920091|124248|124392|124176|121555|123200|124467|124129|124140
1748152,124321|920081|920081|920091
1748501,124321|920085|121715|124172|123507
1752685,124321|124714|124441|10004|10005|10001|920085|121555
1752760,124321|124321|124389|124390|124682|124682|124168|124517|124517|124669|124669|920083|10005|920081|920081|920092|920086|124533|124533
1752999,124321|123901|920082|920085|124317
1755017,124321|920094|920080|920080|920089|920082|920082|920085|920085|920081|920091|920091|920092|920086|920087|920087|920088
1759069,124321|920080|920091
1769846,124321|124390|124112|920095|124088|124168|124367|121761|920094|920094|124441|920080|124167|920089|920089|920082|920082|920084|120863|124438|124451|920081|123434|124280|920091|920092|920086|124075|121439|121440|124166|123438|124309|124379|120550|920087|123869|124314
1780282,124321|124168|124511|920080|920083|920081|920081|124271|120292|920092|124248|124492|920086|124392|123896|124075|124207|124368|124140|120014|124567|122180|124470
1781576,124321|10005|123122|920090|122180
1783616,124321|920094|920089|920085|920085|920090|920091|920092|920087|920087
1786500,124321|124642|123719|124683|123525
1786505,124321|124642|123719
1786634,124321|123407|123750|123637|124421|920080|920089|920083|920083|920090|920090|920081|920081|920086|920086|124547|124556
1789945,124321|123552|123691|123896|123465|123902
1791061,124321|123901|124430|920083|124490
1792069,124321|124422|920089|920089|123564|124451|920085|123584|920081|920081|920081|123703|920091|920091|920086|920087|123517
1795382,124321|920089
1795560,124321|123875|123675|120808|122248|123915|122180|122180
1796581,124
1803685,124321|123868|124207
1806756,124321|124168|920080|920089|920085|920085|920090|920081|920081|920081|920081|10007|10008|920092|920092|920092|920088
1819198,124321|920080|920089|920091
1823776,124321|920090|920087
1827970,124321|10006|920080|920083|10007
1828085,124
1828131,124
1828950,124321|123604|124464
1829263,124321|124603
1829551,124321|124496|124473|920080|920082|121579|920085|124598|124467|124454
927715,124321|124418|920094|920080|920080|920089|920082|920082|920083|920083|124423|920085|920085|920090|920090|920081|920081|920091|920091|920092|920086|920086|920087|920088
1176280,123162|120667|920081|123916|920086|123821|123448
1279511,123162|920092|920086|123856|123794
1709873,123162|123553
1717352,123162|920083|920081|920086|123169
1735483,123162|121377|123467|920080|920089|920083|920090|920081|920091|123514|123519
1747463,123162|124743|123758|124501|123637|124416|124112|124088|124168|123866|124156|124186|123619|124167|123738|120667|123851|124358|123786|124075|123200|123800|124183|920056|122248|123169|123776|123794|124454
1760820,123162|920094|920080
1770539,123162|124308|124350|124389|124390|124263|124243|123589|124262|124501|123522|123611|124168|124372|124295|124167|120667|124451|920081|123916|124248|121440|124547|124585|124519|124354|123617|123448|124525|123920|123871|124334
1770752,123162|124389|124390|124666|920094|124372|920081|920091|920092|920086|124368|124379
1773491,123162|123763|920083|920081|123787|123892
1774250,123162|920081|920092|920086
1786978,123162|123757|920080|123738|920083|920081
1792312,123162|920080|123881|123621|920086|123448|123920
1804833,123162|123611
1807554,123162|920084|920081|920081|920091|920092|920086|123448|920088
1813407,123162|920083|124259|920081|920091|920087
1814702,123162|920083
456469,123162|123770|124243|123750|123868|123434|123786|121440|123776
1172437,124308|124263|123750|121439
1219173,124308|124168|124295|920083|920081
1712988,124
1714694,124308|123764|123757|123758|920103|123798|920081|920092|920092|920092|920086|123448|920087
1759753,124308|124300|123780|920080|920089|920082|920082|920084|920085|920085|920081|920081|920101|920091|920091|121439|121440|920087|920088
1769349,124308|920076|920095|920094|920094|123616|124167|920089|920089|124484|920082|124621|920084|124177|124594|124211|920085|920085|920090|920081|920081|920091|920092|124637|124248|920086|920105|920087|124352|124593|124154|920088|124559|124376
1792418,124308|124212|920095|123738|920081
1780259,124697|124743|124682|124614|124400|11119|920094|920094|124156|124843|920080|920080|920089|920082|10004|124868|920081|920092|920092|920086|920056|920087|920088|920088|124862
1792290,124697|124609|124389|124727|124616|124517|920080|124484|124603|920086
1828439,124697|124697|920091
1274206,124609|124682|124755|123619|920080|123743|920081|124599|121439|122430|123690
1732026,124609|124262|124501|920094|920081|920081|123434|920092|920092|920092|920086|920086|920086|124839|124435
1739970,124609|124510|920081
1820674,124609|124389|124666|920094|920094|920080|124579|920081|920081|920092|920086|920086|920087|124606|123794
1137550,124350|124372|124361|124354|124334
